ticker,quarter,confidence_prepared,confidence_qa,hedging_prepared,hedging_qa,sentiment_prepared,sentiment_qa,call_date,sentiment_gap,hedging_gap,return_60d
AMD,2025-Q3,0.9,0.75,2.0,6.0,0.85,0.6,2025-11-04,-0.25,4.0,-3.9246217090439925
AMD,2025-Q4,0.9,0.75,2.0,6.0,0.8,0.55,2026-02-03,-0.25,4.0,77.07677002408295
AMD,2026-Q1,0.9,0.75,3.0,6.0,0.85,0.6,2026-05-05,-0.25,3.0,12.995082309611137
NVDA,2026-Q2,0.85,0.85,4.0,4.0,0.7,0.75,2025-08-27,0.050000000000000044,0.0,0.26652159551692833
NVDA,2026-Q3,0.9,0.85,3.0,4.0,0.85,0.75,2025-11-19,-0.09999999999999998,1.0,4.069119875825306
NVDA,2026-Q4,0.88,0.85,4.0,4.0,0.85,0.7,2026-02-25,-0.15000000000000002,0.0,18.731072640571664
QCOM,2025-Q4,0.85,0.7,3.0,8.0,0.75,0.5,2025-11-05,-0.25,5.0,-14.588898991439466
QCOM,2026-Q1,0.65,0.55,6.0,9.0,0.15,-0.1,2026-02-04,-0.25,3.0,30.701745160615097
QCOM,2026-Q2,0.75,0.6,5.0,9.0,0.4,0.2,2026-04-29,-0.2,4.0,-4.962677112827974
TXN,2025-Q3,0.65,0.6,4.0,9.0,0.25,-0.1,2025-10-21,-0.35,5.0,13.227123191098295
TXN,2025-Q4,0.75,0.65,3.0,9.0,0.4,0.5,2026-01-27,0.09999999999999998,6.0,31.411479702647526
TXN,2026-Q1,0.85,0.65,1.0,14.0,0.6,0.5,2026-04-22,-0.09999999999999998,13.0,1.163363678737284
